first_name,last_name,company_name,phone,email,website,google_rating,review_count,years_in_business,employee_count_estimate,city,outreach_angle,score,niche
David,Kho,Real Garage Door Pros LLC,+17026009317,,realgaragedoorpros.com,,13-43,1 (launched 2025; 10+ yr owner exp),1-3,Las Vegas,"David, 10 years' experience but the company's brand-new — building reviews and lead flow from scratch is the whole game now.",7.0,garage
,,Filis Garage Door,+17255992182,,(Instagram only),,,1-3,1-2,Las Vegas,You're running garage repair off Instagram with no website — searchers can't find or book you.,6.5,garage
,,Swift Garage Door Repair of Henderson,+17027731923,,(Facebook),,138 FB likes,2-4,2-4,Henderson,"Customers praise the 'swift' response, but you're Facebook-only — invisible to anyone who Googles.",6.0,garage
Bar,Shamir,702 Garage Door,+17028460232,,(Yelp),4.6,11,3+ (lic 2022),2-4,Las Vegas,Only 11 reviews and a public no-show complaint — reputation's leaking; reviews + a real site would stop it.,5.5,garage
Ryan,H.,1st Call Garage Doors LLC,+17023713882,,1stcallgaragedoor.com,4.9,311 (Yelp),15+ (since 2010),5-10,Las Vegas,"311 reviews and a 15-year record — already strong online; only an ad/funnel-scaling play, not a rescue.",5.0,garage
Michael,V.,American Veteran Garage Doors,+17029792871,,(directories),,337 (Birdeye),10+ (since ~2014),3-8,Henderson,"Veteran-owned, 337 reviews — established; an NLV location already closed, so probe whether they're scaling or shrinking.",5.0,garage
Dennis,Chang,Vantage Garage Doors,(702) 419-7559,,vantagegaragedoors.com,4.56,62,18,,Las Vegas,"Dennis, 18 years and 62 reviews is real traction, but your own site's SSL cert is expired so every visitor hits a 'not secure' warning before they see you. 3-day fix: secure site + Google profile = stop leaking trust at the door.",7.0,garage
,,Action Door Services,(702) 369-6044,service@actiondoorservices.com,actiondoorservices.com,4.0,17,28,,Las Vegas,"Three generations and 28 years in the valley, but only 17 reviews and no Google presence — a goodwill goldmine sitting uncollected. 14-day fix: review engine + Google Business Profile = decades of trust finally showing up in search.",6.5,garage
Ozzie,Maldonado,Sunrise Garage Doors LLC,(725) 300-8930,info@sunrisegaragedoorsllc.com,sunrisegaragedoorsllc.com,,,,,Las Vegas,"Ozzie, you've got the crew and coverage, but your site still shows a '[0]+ years' placeholder and a dead duplicate Weebly competing with itself. 7-day fix: one clean site + GBP = stop confusing Google and customers.",6.0,garage
Rafael,,J & R Garage Door Inc,(775) 751-2309,,jandrgaragedoorinc.com,,13,28,,Pahrump,"Rafael, 28 years in Pahrump and only 13 reviews — out-of-town brands are buying ads against your own town. 10-day fix: local landing page + review push = you own Pahrump search again.",6.0,garage
,,Mesquite Garage Door Company,(702) 346-9118,,mesquitegaragedoors.com,,,19,,Mesquite,"19 years serving Mesquite and the owner still answers the phone, but near-zero online reviews mean newcomers can't find you. 10-day fix: Google profile + review system = your tenure finally shows online.",5.5,garage
Loyde,Chancellor,Pahrump Valley Garage Door LLC,(775) 513-3531,,pahrumpvalleygaragedoor.com,,,3,,Pahrump,"Loyde, brand-new shop with no reviews and no lead capture on the site — starting from zero visibility. 14-day fix: starter site + GBP + review flow = a findable business from day one.",5.5,garage
