first_name,last_name,company_name,phone,email,website,google_rating,review_count,years_in_business,employee_count_estimate,city,outreach_angle,score,niche
,,Davis Pool Service,+14808924845,,davispoolservice.com,2.8,26,,1-3,Mesa,"Davis Pool Service is established, family-owned, and has 241 Facebook fans who clearly like the work. But a 2.8 Yelp rating across 26 reviews is a five-alarm fire — every Mesa homeowner who Googles you sees that number and calls someone else, no matter how good the actual service is. 30-day fix: a review-recovery system that surfaces your happy customers (the silent majority) to drag 2.8 toward 4.5 + reputation monitoring = stop bleeding every search lead at the star rating.",7.5,pool
,,Tukee Pools,+16024560154,,tukeepools.com,5.0,8,,1-2,Phoenix,"Tukee Pools owns a perfect niche — Ahwatukee-only, certified, no contracts, a clean 5.0. That focus is a real edge. But 8 reviews and a thin site mean you're invisible to most of the Ahwatukee homeowners searching right now, so the niche advantage isn't compounding. 21-day fix: a review-request text after every service to break 30+ + an 'Ahwatukee pool service' landing page = own your one zip code completely instead of half-ranking in it.",7.5,pool
,,Jason The Pool Guy,+14802325325,thepoolguy.jason@gmail.com,jasonthepoolguy.com,,,,1-1,Gilbert,"Jason, you've built a real one-man brand in Gilbert on reliability — people remember 'the pool guy.' But you're running it on a gmail address and 163 Facebook likes, so the second someone Googles you there's almost nothing there, and you're capped at word-of-mouth. 14-day fix: a simple booking site + claimed Google profile + jason@ email = turn the personal brand into searchable jobs instead of relying on referrals to find you.",7.5,pool
,,Urban Pools,+14802335781,,urbanpoolsllc.com,5.0,15,,1-2,Gilbert,Urban Pools is family-owned with a spotless 5.0 and customized weekly service people rave about — the operation is dialed. But 15 reviews and 194 Facebook likes for the Gilbert/Chandler market means you're invisible next to the 300-review shops. 21-day fix: a review automation to push past 40 + Google Business Profile optimization = make the quality you already deliver actually findable in the East Valley searches.,7.0,pool
,,Gratitude Pools,+16029808807,,gratitudepools.com,5.0,17,,1-2,Mesa,"Gratitude Pools sits at a clean 5.0 with a real site and a likable brand in Mesa. But 17 reviews is thin for the East Valley, and the site isn't ranking, so you're leaning on referrals while franchises buy the top of the map pack. 21-day fix: a review-request system to break 40+ + local SEO = convert a great reputation into the search visibility that fills a route.",7.0,pool
,,Aqua Harmony Pools,+14805427341,Contact@aquaharmonypools.com,aquaharmonypools.com,5.0,17,,1-2,Phoenix,"Aqua Harmony has a 5.0, an active Instagram, and a real Phoenix footprint — the brand looks sharp. But 17 reviews and a site that doesn't rank means all that polish isn't getting in front of enough searchers. 21-day fix: review automation to climb past 40 + an SEO landing page for 'pool service Phoenix' = point the demand at the brand you've already built.",7.0,pool
,,Crystal Clear Pool Service and Repair,+16233306184,,(Yelp),5.0,17,,1-2,Surprise,"Crystal Clear runs a clean 5.0 in Surprise and customers in places like Rancho Gabriela actively recommend you. But there's barely a website and only 17 reviews, so when a new West Valley homeowner searches, you're not there. 21-day fix: a booking site + GBP + a review push = turn neighborhood word-of-mouth into searchable proof across Surprise.",7.0,pool
,,Bluewater Pool Services,+16237779943,,bluewaterpoolsaz.com,5.0,18,,1-2,Peoria,"Bluewater is professional, reliable, and sitting at a clean 5.0 in Peoria and the West Valley. But 18 reviews and a quiet site mean you're invisible next to Barefoot and the franchises. 21-day fix: a review-request automation to break 40+ + local SEO for the Peoria/Lake Pleasant zips = make the reliability you're known for show up in search.",7.0,pool
,,Blue Lagoon Pool Management,+16024007289,bluelagoonpm@gmail.com,bluelagoonpm.com,,,,1-2,Gilbert,"Blue Lagoon is family-owned and has been quietly taking care of Gilbert pools for years — real, steady work. But you're running on a gmail address with thin reviews, so you're invisible to anyone who didn't get your name from a neighbor. 21-day fix: a branded email + GBP with reviews + light local SEO = stop capping growth at word-of-mouth in one of Arizona's biggest pool markets.",7.0,pool
,,Larimar Pool Services,+14804591825,,larimarpools.com,3.8,9,,1-2,Chandler,Larimar has loyal customers maintaining pools with you since 2022 and a real Chandler site — the bones are good. But a 3.8 rating across 9 reviews is dragging you down in a competitive East Valley market; one or two bad reviews are defining you. 30-day fix: a review-recovery system to surface your happy long-term clients + reputation monitoring = lift 3.8 toward 4.7 and stop losing searches at the rating.,7.0,pool
