First Name,Last Name,Business Name,Email,Phone,Address,City,State,Postal Code,Tags,Notes
,,Jake's Pool Service & Repair,,(801) 317-3660,,Ogden,UT,,"utah-pool-2026-06,batch-ut-1,icp-7.5,top-priority","Score 7.5/10. Utah pool, top-priority. Lead-with D + F. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Chief Pool Cleaning,chiefpoolcleaning@gmail.com,(801) 228-0738,,Orem,UT,,"utah-pool-2026-06,batch-ut-1,icp-7.5,top-priority","Score 7.5/10. Utah pool, top-priority. Lead-with B + C. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
Joe,Costello,Aqua Solutions Pool and Spa,,(801) 450-3606,,Saratoga Springs,UT,,"utah-pool-2026-06,batch-ut-1,icp-7.0,mid-priority","Score 7.0/10. Utah pool, mid-priority. Lead-with C + D. Full angle in research CSV."
Anthony,,Cannonball Pools,,(801) 823-9020,,Sandy,UT,,"utah-pool-2026-06,batch-ut-1,icp-7.0,mid-priority","Score 7.0/10. Utah pool, mid-priority. Lead-with B + C. Full angle in research CSV."
Todd,Hansen,Zion Pools,todd@zionpoolservice.com,(435) 287-5086,,St. George,UT,,"utah-pool-2026-06,batch-ut-1,icp-7.0,mid-priority","Score 7.0/10. Utah pool, mid-priority. Lead-with C + D. Full angle in research CSV."
,,Hunter Pools,,(435) 344-4397,,St. George,UT,,"utah-pool-2026-06,batch-ut-1,icp-7.0,mid-priority","Score 7.0/10. Utah pool, mid-priority. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Absolute Water Professionals,,(385) 429-3133,,Cottonwood Heights,UT,,"utah-pool-2026-06,batch-ut-1,icp-7.0,mid-priority","Score 7.0/10. Utah pool, mid-priority. Lead-with D + G. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
Philip,,AquaPhil Pools,,(435) 668-5277,,St. George,UT,,"utah-pool-2026-06,batch-ut-1,icp-6.5,mid-priority","Score 6.5/10. Utah pool, mid-priority. Lead-with D + C. Full angle in research CSV."
,,Swimfast Pool Service,,(801) 362-5335,,Lehi,UT,,"utah-pool-2026-06,batch-ut-1,icp-6.5,mid-priority","Score 6.5/10. Utah pool, mid-priority. Lead-with C + B. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Art's Pool & Spa Services,artpoolandspaservices@gmail.com,(435) 731-7902,,Heber City,UT,,"utah-pool-2026-06,batch-ut-1,icp-6.5,mid-priority","Score 6.5/10. Utah pool, mid-priority. Lead-with C + B. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Sweetwater Pool Cleaning,,(435) 599-2540,,Washington,UT,,"utah-pool-2026-06,batch-ut-1,icp-6.0,probe-first","Score 6.0/10. Utah pool, probe-first. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Desert Sun Pool,,(435) 703-8080,,St. George,UT,,"utah-pool-2026-06,batch-ut-1,icp-6.0,probe-first","Score 6.0/10. Utah pool, probe-first. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Equinox Pool Service,,(435) 673-9255,,St. George,UT,,"utah-pool-2026-06,batch-ut-1,icp-6.0,probe-first","Score 6.0/10. Utah pool, probe-first. Lead-with D + G. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
Brock,,Emerald Pool Service,noah@emeraldpoolservice.com,(435) 383-3231,,St. George,UT,,"utah-pool-2026-06,batch-ut-1,icp-6.0,probe-first","Score 6.0/10. Utah pool, probe-first. Lead-with C + D. Full angle in research CSV."
,,Any Spa & Pool Repair Solution,,(801) 637-1376,,Orem,UT,,"utah-pool-2026-06,batch-ut-1,icp-6.0,probe-first","Score 6.0/10. Utah pool, probe-first. Lead-with C + A. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Island Pool Cleaning,,(385) 585-2800,,Syracuse,UT,,"utah-pool-2026-06,batch-ut-1,icp-6.0,probe-first","Score 6.0/10. Utah pool, probe-first. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Morrison Pool N Spa,,(801) 651-3911,,Kearns,UT,,"utah-pool-2026-06,batch-ut-1,icp-6.0,probe-first","Score 6.0/10. Utah pool, probe-first. Lead-with C + F. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
