First Name,Last Name,Business Name,Email,Phone,Address,City,State,Postal Code,Tags,Notes
,,Saya Pools LLC,info@sayapools.com,(725) 305-2802,5575 Simmons St Ste 1-599,North Las Vegas,NV,89031,"vegas-pool-2026-05,batch-3,icp-9.0,top-priority","Score 9.0/10. 4.7★ on 33 Yelp reviews. Website: sayapools.com. Squarespace site with logo file literally named 'Your paragraph text.jpg', click-to-dial link has typo (tel:720 vs displayed 725), contact form lets users select from 200+ countries (default Squarespace template). NAP split between (725) 305-2802 (website) and (725) 286-1813 (Yelp).. Outreach: ""Your logo file is literally named 'Your paragraph text.jpg' and the click-to-dial link in your phone number has a typo (tel:720 instead of 725) — every mobile click is going to the wrong area code. 7-day fix: branded logo + corrected phone link + canonical NAP across Yelp/GMB = recover the 20-30% of mobile callers misrouting, plus the trust signal of looking finished."""
,,Bella Pools,,(702) 728-4816,3281 Big Sky Way,Pahrump,NV,89048,"vegas-pool-2026-05,batch-3,icp-9.0,top-priority","Score 9.0/10. 4.5★ on 20 Yelp reviews. Website: bellapoolsandspas.com. Testimonials section on live homepage still shows WordPress theme placeholder text ('Mom: My Son is the best Pool guy ever. Sister: My Brother is the great at remodeling. Brother: I hate to admit it, but my Brother is pretty cool'). Multi-phone NAP: (702) 728-4816 on website vs (775) 490-2669 on Yelp. 10+ years claimed in copy but '20+ Years' in stat block — inconsistent.. Outreach: ""Your homepage testimonials still show the WordPress theme's placeholder text — 'Mom: My Son is the best Pool guy ever' — that's killing trust the moment a homeowner scrolls past the hero. 7-day fix: pull 8-10 real Google reviews into testimonials + one canonical phone number across website/Yelp/GMB = the trust signal flips from 'hobby site' to '10-year operator'."""
Bob,Jones,Bob Jones Pool Service & Repair,,(702) 294-1759,1526 Christina Dr,Boulder City,NV,89005,"vegas-pool-2026-05,batch-3,icp-9.0,top-priority","Score 9.0/10. 4.7★ on 28 Yelp reviews. Website: bobjonespoolservice.com. 32 YEARS in Boulder City — longest-running operator in batch 3. Owner-named brand. Specializes in acid washing + equipment repair + replacement + tile cleaning. Has own domain. Per Nextdoor: 'has been maintaining our pool in top condition for many years'. Site is bare-bones — no service-area pages despite 32-year history, no acid-wash specialty landing page.. Outreach: ""32 years in Boulder City is the longest tenure of anyone I'm pitching this month — and your site doesn't show ANY of it above the fold. 'Since 1994' should be the first thing every visitor sees. 30-day fix: hero refresh leading with '32 Years Serving Boulder City' + dedicated acid-wash landing page (your specialty) + neighborhood pages (BC + Henderson + Anthem) = lock in premium pricing and double inbound leads in 60 days."""
,,Palm Pool Care,office@palmpoolcare.com,(702) 763-7374,660 Hardy Way,Mesquite,NV,89027,"vegas-pool-2026-05,batch-3,icp-8.5,top-priority","Score 8.5/10. 4.7★ on 28 Yelp reviews. Website: palmpoolcare.com. WordPress site running on theme literally named 'LawFirmSites' — a law-firm template repurposed for a pool company. Multi-phone (Mesquite 702-763-7374 + St George 435-527-5090) but no service-area pages distinguishing them. 8+ named technicians in testimonials (Dallas, Matt, Andrew, TJ) but no team page. Last content update Jan 2025 = stale.. Outreach: ""Your website is literally built on a theme called 'LawFirmSites' — Google sees 'law firm' schema markup on a pool site, which is hurting your local SEO ranking. 30-day fix: pool-specific theme + Mesquite vs St George service-area pages + named technician profiles (you've already got 8+ named in testimonials) = $30-50K/yr in recovered local-search traffic."""
,,Alpha & Omega Pools (AO Pools),,(702) 560-7665,,Henderson,NV,,"vegas-pool-2026-05,batch-3,icp-8.5,top-priority","Score 8.5/10. 4.6★ on 42 Yelp reviews. Website: aopools.com. Site built on HubSpot Free tier — visible 'Built on HubSpot' footer + 'Create your own free website' badge underneath. Copyright stuck at 2023 (3 years stale). Trust badges featured front-and-center are 'Best of Henderson 2016', 'Thumbtack Best of 2015' — using 9-10 year old awards. Service area pages exist but no new ones since 2019.. Outreach: ""Your homepage features a 'Best of Henderson 2016' badge and copyright still reads 2023 — homeowners checking you out in 2026 see a site that looks abandoned. Plus you're on HubSpot's FREE tier which adds their branding footer killing your trust signal. 30-day fix: paid site + updated copyright + current trust signals = stop bleeding the 30%+ of clicks that bounce because the site looks dead."""
Dave,Rubinson,Dave Rubinson Pools LLC,,(702) 767-4249,,Henderson,NV,,"vegas-pool-2026-05,batch-3,icp-8.5","Score 8.5/10. 4.5★ on 22 Yelp reviews. Website: daverubinsonpoolsllc.com. Owner-named brand but content frozen since March 2021 (5+ years of zero updates per modifiedTime metadata). Free OnePress theme by FameThemes. Copy is full of AI-template transitions ('Indeed,' 'Certainly,' 'In conclusion,') = bot-written 2021 SEO mill content. Footer copyright auto-bumps to 2026 but content is dead. Service area pages exist for LV/Henderson/Paradise/NLV.. Outreach: ""Dave, your site's content hasn't been touched since March 2021 — homeowners can tell from the AI-template phrasing ('Indeed,' 'Certainly,' 'In conclusion'). Your brand has your name on it which is gold; the site doesn't capitalize on that at all. 30-day fix: hero refresh with YOUR face + recent customer pools + neighborhood pages for Green Valley/Anthem/Seven Hills = 8-15 new bookings/month."""
,,Accredited Pool Service,,(702) 425-7665,,Henderson,NV,,"vegas-pool-2026-05,batch-3,icp-8.0","Score 8.0/10. 4.5★ on 21 Yelp reviews. Website: accreditedpoolservice.com. Serving Las Vegas Valley SINCE 1995 — 30+ years tenure. Henderson + LV + Summerlin coverage. Has own domain but generic 'accredited' name competes with national 'accredited pool' searches. No badge wall showing actual certifications. NOTE: phone listed as best-effort — confirm on first dial via accreditedpoolservice.com contact page.. Outreach: ""30 years in the Las Vegas Valley (since 1995) is incredible — and your site name says 'Accredited' but never shows WHICH certifications you actually hold (CPO? BBB? Manufacturer-certified?). 14-day fix: trust-badge wall above the fold + 'Why accreditation matters in 2026' education page + 'Since 1995' hero = trust signal goes from generic claim to proof = 25-40% form-fill increase."""
,,Pahrump Valley Pool Service,PahrumpValleyPoolService@gmail.com,(775) 775-1177,,Pahrump,NV,89048,"vegas-pool-2026-05,batch-3,icp-8.0","Score 8.0/10. 4.6★ on 15 Yelp reviews. Website: pvpoolguy.com. GoDaddy Website Builder 8.0 (DIY free tier). @gmail.com business email. '!!! COMING SOON !! UNDER CONSTRUCTION' section sitting live on the homepage right above contact. Hero title duplicated 3x with line breaks. Page <title> is 'PV Pools Update'. Solo operator with monthly customer base — growth motion ready.. Outreach: ""Your homepage has a giant 'COMING SOON UNDER CONSTRUCTION' banner sitting right above the contact section — every visitor reading that bounces. Plus the @gmail.com business email is getting filtered to spam in Gmail/Outlook. 14-day fix: finish the construction section + biz email on your own domain + the hero title isn't repeated 3 times = recover the 40%+ of visitors leaving on the placeholder text."""
Cory,Gorman,NO Worries Pool Care,,,,Boulder City,NV,89005,"vegas-pool-2026-05,batch-3,icp-8.0","Score 8.0/10. 4.8★ on 18 Yelp reviews. Website: NONE. Facebook-only digital footprint (no website at all). Owner Cory Gorman publicly named + speaks at Boulder City Business Development monthly. $150/mo standard service pricing published on FB. Nextdoor recommendations active. Single-channel risk: one FB algo change and the phone goes quiet. PHONE: not surfaced from public sources — capture on first dial via FB Messenger or Nextdoor.. Outreach: ""Cory, you're speaking at Boulder Business Development AND getting Nextdoor referrals but every lead lives on Facebook — one algorithm change and the phone goes quiet. 14-day fix: own domain + GMB profile + repurpose your FB testimonials onto a homepage = 3 lead sources instead of 1, plus you finally rank on Google for 'pool service Boulder City'."""
Tim,Oliver,Tim Oliver's Pool Service LLC,,(702) 293-6325,1400 Colorado St Ste C,Boulder City,NV,89005,"vegas-pool-2026-05,batch-3,icp-8.0","Score 8.0/10. 4.5★ on 21 Yelp reviews. Website: NONE. Owner-named brand (Tim Oliver). LLC formed and licensed in Boulder City. MapQuest + Nextdoor + BBB + Yelp listings but no own-domain website surfaces. Boulder City focused — neighbors actively asking for him by name on Nextdoor.. Outreach: ""Tim, you have the kind of word-of-mouth that money can't buy — Nextdoor neighbors are asking for you by name. But the moment a new Boulder City pool owner Googles 'pool service Boulder City NV' they don't find you. 21-day fix: 4-page site with your name front and center + GMB + claim those Nextdoor mentions on your own domain = double the inbound calls within 60 days."""
