first_name,last_name,company_name,phone,email,website,google_rating,review_count,years_in_business,employee_count_estimate,city,outreach_angle,score,niche
,,Jake's Pool Service & Repair,+18013173660,,(Facebook),4.1,7,15,1-3,Ogden,"Jake, 15 years in and 581 Facebook fans means people trust the work — that's the hard part and you've got it. But a 4.1 Google rating with only 7 reviews is doing real damage: every homeowner who searches sees the 4.1 next to 5.0 competitors and scrolls past you. 21-day fix: a review-request text after every job to bury the old ratings under fresh 5-stars + a real website = 15 years of reputation finally showing up the way it should.",7.5,pool
,,Chief Pool Cleaning,+18012280738,chiefpoolcleaning@gmail.com,(Facebook),,,,1-2,Orem,"Chief, you're running real pool service off a Facebook page with 4 likes and a gmail address — which means you're 100% invisible to anyone who Googles 'pool service Orem' and lives entirely on referrals. That's a ceiling. 14-day fix: a simple booking site + a claimed Google Business Profile + chief@ email = you start showing up for the searches happening in your own backyard every single day.",7.5,pool
Joe,Costello,Aqua Solutions Pool and Spa,+18014503606,,(Facebook),5.0,,2,1-2,Saratoga Springs,"Joe, you're Hayward-certified and the reviews you do have are glowing — you've got the credibility. But the whole operation lives on a Facebook page with no real website, so in fast-growing Saratoga Springs/Eagle Mountain you're invisible to every new homeowner who doesn't already know your name. 21-day fix: a clean site + Google profile + review system = turn the Hayward badge and happy customers into searchable proof that wins the new-build neighborhoods.",7.0,pool
Anthony,,Cannonball Pools,+18018239020,,(Yelp),5.0,,3,1-2,Sandy,"Anthony, customers say they've used you for 3+ years and you never miss a day — that loyalty is gold. But there's no real website, just a Yelp listing, so all that goodwill stays trapped in word-of-mouth instead of pulling new Sandy/Draper customers from search. 21-day fix: a one-page booking site + Google Business Profile + review push = the reliability people already love finally working as marketing.",7.0,pool
Todd,Hansen,Zion Pools,+14352875086,todd@zionpoolservice.com,zionpoolservice.com,,,5,1-3,St. George,"Todd, Zion's been at it 5 years in St. George and you've got a real site already — you're ahead of most. But it's a Wix template that doesn't rank, and the review count is thin for half a decade of work, so you're invisible against the franchises buying their way up the map pack. 30-day fix: rebuild on a fast SEO site + a review-request automation = stop renting visibility from Poolwerx and own 'pool service St. George' yourself.",7.0,pool
,,Hunter Pools,+14353444397,,hunterpoolcare.com,,,1,1-2,St. George,"Hunter Pools is brand new, CPO-certified, and the site went up in December — you're doing it right from day one. But new means near-zero reviews and no search footprint, so right now you're invisible in a St. George market that's all sun and pools. 30-day fix: aggressive review collection from your first customers + Google Business Profile fully built + a landing page that ranks = compound the head start before the established guys notice you.",7.0,pool
,,Absolute Water Professionals,+13854293133,,awproutah.com,3.2,6,15,1-2,Cottonwood Heights,You've got 15 years of experience and a real service area across the south valley — the chops are there. But a 3.2 star rating across 6 reviews is actively costing you jobs: every homeowner sees that number first and never calls. That's the single highest-leverage fix in your whole business. 30-day fix: a review-recovery system that surfaces your happy customers (the quiet majority) to drag 3.2 toward 4.7 + a site refresh = stop bleeding leads at the star rating.,7.0,pool
Philip,,AquaPhil Pools,+14356685277,,aquaphilpools.com,5.0,3,,1-2,St. George,"Philip, the reviews that exist call you the most dependable, knowledgeable pool guy in the valley — perfect 5.0. But 3 reviews for a real operator means you're invisible to the filter most people use, and the site doesn't rank for St. George/Cedar City searches. 21-day fix: a review-request text after every service to break 25+ + service-area pages = the reputation you've already earned finally pulls the searches it deserves.",6.5,pool
,,Swimfast Pool Service,+18013625335,,(Yelp),,,,1-2,Lehi,"Swimfast sits right in the middle of Lehi/Silicon Slopes — one of the fastest-growing, highest-income pool markets in Utah. But you're a Yelp listing and a phone number with no real website, so you're invisible to a flood of new homeowners who all start on Google. 21-day fix: a booking site + claimed Google profile + review system = stop leaving the easiest new-construction pool jobs in the state to the franchises.",6.5,pool
,,Art's Pool & Spa Services,+14357317902,artpoolandspaservices@gmail.com,artpoolandspa.com,,,,1-2,Heber City,"Art, you cover Park City and Heber 'snow or shine' for a high-end second-home crowd that pays well and tips on reliability — great market. But the site's a basic Square page and the contact is a gmail, which reads 'side gig' to a Deer Valley homeowner vetting you. 21-day fix: a polished site + art@ domain email + Google profile with reviews = match the professional service to a first impression that wins the luxury accounts.",6.5,pool
,,Sweetwater Pool Cleaning,+14355992540,,sweetwaterpoolserviceinc.com,,,,1-3,Washington,"Sweetwater handles the full job — openings, closings, liners, safety covers, repairs — which is exactly the high-ticket work that's hard to find in Washington County. But that range is buried; the site doesn't sell it and reviews are thin. 30-day fix: service-specific pages for the liner/cover/repair work (the $$ jobs) + a review push = capture the premium searches the weekly-only crowd can't.",6.0,pool
,,Desert Sun Pool,+14357038080,,desertsunpool.com,,,,1-2,St. George,"Desert Sun is active and the content actually speaks to St. George's hard water and brutal UV — you understand the local pain better than most. But the reviews and search footprint don't match the effort, so the right message isn't reaching enough people. 30-day fix: a Google Business Profile push for reviews + an SEO landing page built around 'hard water pool care St. George' = turn the local expertise into rankings.",6.0,pool
,,Equinox Pool Service,+14356739255,,eqpoolservice.com,,1,,1-2,St. George,"Equinox covers St. George and Mesquite and has a clean, modern site — solid foundation. But there's a public billing-dispute review sitting out there with almost nothing positive around it to balance it, so one bad story is the whole reputation right now. 30-day fix: a review-generation system to flood in the happy customers + a clear service-guarantee on the site = drown the one complaint and rebuild trust at the search level.",6.0,pool
Brock,,Emerald Pool Service,+14353833231,noah@emeraldpoolservice.com,emeraldpoolservice.com,,,,1-2,St. George,"Brock, Emerald already has a sharp Webflow site and packaged service tiers — you've thought about the offer more than most. But the reviews are thin and the site isn't ranking, so the nice packaging isn't getting in front of enough St. George homeowners. 30-day fix: local SEO + a review-request automation = point the traffic at the conversion machine you already built instead of letting it sit.",6.0,pool
,,Any Spa & Pool Repair Solution,+18016371376,,(Yelp),,,,1-2,Orem,"You own the repair niche in Utah County — equipment, plumbing, the stuff weekly-cleaning guys won't touch, which is high-intent, high-ticket work. But you're a Yelp listing with no real site, so when someone Googles 'pool heater repair Orem' at 9pm, you're nowhere. 30-day fix: a repair-focused site that ranks for the equipment searches + fast call-back capture = own the emergency repair calls instead of missing them.",6.0,pool
,,Island Pool Cleaning,+13855852800,,islandpoolcleaning.com,,,,1-2,Syracuse,"Island covers the Davis County/Syracuse stretch and you've got a real site listing the full menu — openings, acid wash, filter work. But reviews are thin and the site doesn't rank, so you're invisible against the franchises pushing into Davis. 30-day fix: Google Business Profile optimization + a review system + a couple service pages = get found by the lake-effect crowd that doesn't already have your number.",6.0,pool
,,Morrison Pool N Spa,+18016513911,,morrisonpoolnspaservices.com,,18,,1-3,Kearns,"Morrison is hustling — you're all over Facebook pushing opening-season slots, and it's working, you're growing. But the website is a default Wix build that doesn't rank or convert, so you're leaving the Facebook energy on the table the second someone Googles you. 21-day fix: a real site that ranks for Salt Lake/Utah/Davis county searches + a lead form that books = turn the marketing effort you're already making into search traffic, not just social.",6.0,pool
,,MD Pool Service,+14356194395,,(Yelp),,,,1-1,Cedar City,"MD Pool Service covers Cedar City — a small market with almost no real competition, which is exactly where a little visibility goes a long way. But you're a Yelp listing and a phone number, so you're leaning entirely on word-of-mouth in a town where one good site would own the whole search. 30-day fix: a one-page site + Google Business Profile + reviews = become THE pool result in Cedar City instead of one of the invisible few.",6.0,pool
