First Name,Last Name,Business Name,Email,Phone,Address,City,State,Postal Code,Tags,Notes
David,Kho,Real Garage Door Pros LLC,,(702) 600-9317,,Las Vegas,NV,,"vegas-garage-2026-05,batch-2,icp-7.0,top-priority","Score 7.0/10. Vegas garage, top-priority. Lead-with C + E. Full angle in research CSV."
,,Filis Garage Door,,(725) 599-2182,,Las Vegas,NV,,"vegas-garage-2026-05,batch-2,icp-6.5,mid-priority","Score 6.5/10. Vegas garage, mid-priority. Lead-with B + C. Full angle in research CSV. [OWNER UNKNOWN - IG handle 'Filis', name not public]"
,,Swift Garage Door Repair of Henderson,,(702) 773-1923,,Henderson,NV,,"vegas-garage-2026-05,batch-2,icp-6.0,mid-priority","Score 6.0/10. Vegas garage, mid-priority. Lead-with B + C. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
Bar,Shamir,702 Garage Door,,(702) 846-0232,,Las Vegas,NV,,"vegas-garage-2026-05,batch-2,icp-5.5,probe-last","Score 5.5/10. Vegas garage, probe-last. Lead-with C + A. Full angle in research CSV. [co-owners Bar Shamir + Omer Ben Hamu; a public no-show complaint]"
Ryan,H.,1st Call Garage Doors LLC,,(702) 371-3882,,Las Vegas,NV,,"vegas-garage-2026-05,batch-2,icp-5.0,probe-last","Score 5.0/10. Vegas garage, probe-last. Lead-with E (scale). Full angle in research CSV."
Michael,V.,American Veteran Garage Doors,,(702) 979-2871,,Henderson,NV,,"vegas-garage-2026-05,batch-2,icp-5.0,probe-last","Score 5.0/10. Vegas garage, probe-last. Lead-with E (scale). Full angle in research CSV. [owner Michael V.; NLV location already CLOSED]"
Dennis,Chang,Vantage Garage Doors,,(702) 419-7559,,Las Vegas,NV,,"vegas-garage-2026-06,batch-add-0601,icp-7.0,mid-priority","Score 7.0/10. Vegas garage, mid-priority. Lead-with A + D. Added 2026-06-01 net-new sweep. Full angle in research CSV."
,,Action Door Services,service@actiondoorservices.com,(702) 369-6044,,Las Vegas,NV,,"vegas-garage-2026-06,batch-add-0601,icp-6.5,mid-priority","Score 6.5/10. Vegas garage, mid-priority. Lead-with D + C. Added 2026-06-01 net-new sweep. Full angle in research CSV. [OWNER UNKNOWN]"
Ozzie,Maldonado,Sunrise Garage Doors LLC,info@sunrisegaragedoorsllc.com,(725) 300-8930,,Las Vegas,NV,,"vegas-garage-2026-06,batch-add-0601,icp-6.0,probe-first","Score 6.0/10. Vegas garage, probe-first. Lead-with A + C. Added 2026-06-01 net-new sweep. Full angle in research CSV."
Rafael,,J & R Garage Door Inc,,(775) 751-2309,,Pahrump,NV,,"vegas-garage-2026-06,batch-add-0601,icp-6.0,probe-first","Score 6.0/10. Vegas garage, probe-first. Lead-with D + G. Added 2026-06-01 net-new sweep. Full angle in research CSV."
,,Mesquite Garage Door Company,,(702) 346-9118,,Mesquite,NV,,"vegas-garage-2026-06,batch-add-0601,icp-5.5,probe-first","Score 5.5/10. Vegas garage, probe-first. Lead-with D + C. Added 2026-06-01 net-new sweep. Full angle in research CSV. [OWNER UNKNOWN]"
Loyde,Chancellor,Pahrump Valley Garage Door LLC,,(775) 513-3531,,Pahrump,NV,,"vegas-garage-2026-06,batch-add-0601,icp-5.5,probe-first","Score 5.5/10. Vegas garage, probe-first. Lead-with B + C. Added 2026-06-01 net-new sweep. Full angle in research CSV."
