First Name,Last Name,Business Name,Email,Phone,Address,City,State,Postal Code,Tags,Notes
,,Davis Pool Service,,(480) 892-4845,,Mesa,AZ,,"phoenix-pool-2026-06,batch-phx-1,icp-7.5,top-priority","Score 7.5/10. Phoenix pool, top-priority. Lead-with D + G. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Tukee Pools,,(602) 456-0154,,Phoenix,AZ,,"phoenix-pool-2026-06,batch-phx-1,icp-7.5,top-priority","Score 7.5/10. Phoenix pool, top-priority. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Jason The Pool Guy,thepoolguy.jason@gmail.com,(480) 232-5325,,Gilbert,AZ,,"phoenix-pool-2026-06,batch-phx-1,icp-7.5,top-priority","Score 7.5/10. Phoenix pool, top-priority. Lead-with B + C. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Urban Pools,,(480) 233-5781,,Gilbert,AZ,,"phoenix-pool-2026-06,batch-phx-1,icp-7.0,mid-priority","Score 7.0/10. Phoenix pool, mid-priority. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Gratitude Pools,,(602) 980-8807,,Mesa,AZ,,"phoenix-pool-2026-06,batch-phx-1,icp-7.0,mid-priority","Score 7.0/10. Phoenix pool, mid-priority. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Aqua Harmony Pools,Contact@aquaharmonypools.com,(480) 542-7341,,Phoenix,AZ,,"phoenix-pool-2026-06,batch-phx-1,icp-7.0,mid-priority","Score 7.0/10. Phoenix pool, mid-priority. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Crystal Clear Pool Service and Repair,,(623) 330-6184,,Surprise,AZ,,"phoenix-pool-2026-06,batch-phx-1,icp-7.0,mid-priority","Score 7.0/10. Phoenix pool, mid-priority. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Bluewater Pool Services,,(623) 777-9943,,Peoria,AZ,,"phoenix-pool-2026-06,batch-phx-1,icp-7.0,mid-priority","Score 7.0/10. Phoenix pool, mid-priority. Lead-with C + D. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Blue Lagoon Pool Management,bluelagoonpm@gmail.com,(602) 400-7289,,Gilbert,AZ,,"phoenix-pool-2026-06,batch-phx-1,icp-7.0,mid-priority","Score 7.0/10. Phoenix pool, mid-priority. Lead-with C + B. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
,,Larimar Pool Services,,(480) 459-1825,,Chandler,AZ,,"phoenix-pool-2026-06,batch-phx-1,icp-7.0,mid-priority","Score 7.0/10. Phoenix pool, mid-priority. Lead-with D + C. Full angle in research CSV. [OWNER UNKNOWN - generic line]"
